Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
2,1,2,150,511,27,108,344.305242,650.88,995.185242,0.0,0.0,0,0,675.0,164.5,-6.882887292529541e-12,58.99999999999656,0.9778523127101394,0.9991811251619658,0.9220139469072981,0.40049693333333336,0.5424,0.9428969333333334,0.39726,0.5424,0.93966
3,1,2,145,511,32,128,352.57356,637.44,990.0135600000001,0.0,0.0,0,0,652.5,187.0,-6.882887292529541e-12,58.99999999999656,0.9837225614575195,0.9973717804507277,0.9259924750308645,0.4101146666666667,0.5312,0.9413146666666666,0.4068,0.5312,0.938
4,1,2,145,511,32,128,372.85434000000004,609.6,982.45434,0.0,0.0,0,0,652.5,187.0,-6.882887292529541e-12,58.99999999999656,0.993814277279506,0.9903541380695503,0.935880205256923,0.43370533333333333,0.508,0.9417053333333333,0.4302,0.508,0.9382
5,1,2,145,511,32,128,364.430016,621.36,985.790016,0.0,0.0,0,0,652.5,187.0,118.0,-6.882887292529541e-12,0.9901565460601855,0.9939816165266212,0.9324364923850259,0.4239061333333333,0.5178,0.9417061333333333,0.42048,0.5178,0.93828
6,1,2,150,511,27,108,463.18181400000003,465.84,929.021814,0.0,0.0,0,0,675.0,164.5,-6.882887292529541e-12,58.99999999999656,0.9742926752826515,0.7684768257743985,0.9031444980002208,0.5387745333333334,0.3882,0.9269745333333334,0.53442,0.3882,0.92262
7,1,2,145,511,32,128,356.005692,634.8000000000001,990.8056920000001,0.0,0.0,0,0,652.5,187.0,118.0,-6.882887292529541e-12,0.9853759479130869,0.9969727271977522,0.9293148884167377,0.4141069333333333,0.529,0.9431069333333333,0.41076,0.529,0.93976
8,1,2,150,511,27,108,459.125658,471.84,930.965658,0.0,0.0,0,0,675.0,164.5,118.0,-6.882887292529541e-12,0.9774448483238107,0.7785255148617405,0.9063419912552828,0.5340564,0.3932,0.9272564,0.52974,0.3932,0.92294
9,1,2,155,511,22,88,455.849532,475.92,931.769532,0.0,0.0,0,0,697.5,142.0,118.0,-6.882887292529541e-12,0.9796315809042141,0.7648200575227844,0.9079672203821149,0.5302456,0.3966,0.9268456,0.52596,0.3966,0.92256
10,1,2,150,511,27,108,348.361398,644.4000000000001,992.7613980000001,0.0,0.0,0,0,675.0,164.5,-6.882887292529541e-12,58.99999999999656,0.9808125419271715,0.9985933851336628,0.9241363545794127,0.4052150666666667,0.537,0.9422150666666667,0.40194,0.537,0.93894
1,1,3,145,511,32,128,383.150736,591.6,974.750736,0.0,0.0,0,0,652.5,187.0,118.0,-6.882887292529541e-12,0.9974653905794179,0.8105330182070608,0.9363029407552544,0.44568213333333334,0.493,0.9386821333333333,0.44208,0.493,0.93508
2,1,3,140,511,37,148,353.977614,638.88,992.857614,0.0004405286343612335,0.0003755163349605708,0,0,630.5550660792952,209.65734134434848,118.0,118.0,0.9839322460667268,0.8397430899920071,0.9289775310684418,0.4117478666666667,0.5324,0.9441478666666666,0.40842,0.5324,0.94082
3,1,3,140,511,37,148,351.48151800000005,642.24,993.7215180000001,0.0,0.0,0,0,630.0,209.5,-6.882887292529541e-12,39.333333333328746,0.982400802839845,0.8429391091464146,0.9274299764764597,0.4088444,0.5352,0.9440444,0.40554,0.5352,0.94074
4,1,3,140,511,37,148,359.905842,630.24,990.145842,0.0008661758336942399,0.00076103500761035,0,0,631.0913815504547,209.81887366818876,-6.882887292529541e-12,39.333333333328746,0.9874148423735609,0.8421307506580176,0.9319651795192943,0.4186436,0.5252,0.9438436,0.41526,0.5252,0.94046
5,1,3,140,511,37,148,356.47371000000004,636.24,992.71371,0.0004374453193350831,0.0003770739064856712,0,0,630.5511811023622,209.6579939668175,-6.882887292529541e-12,39.333333333328746,0.9852648050552634,0.8684655700993625,0.9309287647428723,0.4146513333333333,0.5302,0.9448513333333334,0.4113,0.5302,0.9415
