Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
2,1,2,315,511,152,511,334.32085800000004,601.4399999999999,935.760858,0.0,0.0,0,0,1417.5,727.0,118.0,-6.882887292529541e-12,0.9843264081529832,0.9973615779920832,0.8761322679697924,0.38888306666666667,0.5012,0.8900830666666667,0.38574,0.5012,0.88694
3,1,2,315,511,152,511,336.660948,597.6,934.2609480000001,0.0004631773969430292,0.0004014452027298274,0,0,1418.8131079203336,727.5837013247691,-6.882887292529541e-12,58.99999999999656,0.9858980424700687,0.9965358483333936,0.8770598937981218,0.39160506666666667,0.498,0.8896050666666667,0.38844,0.498,0.88644
4,1,2,315,511,152,511,339.93707400000005,593.76,933.697074,0.0,0.0,0,0,1417.5,727.0,-6.882887292529541e-12,58.99999999999656,0.9876898305598942,0.9947031569808751,0.8792571585097294,0.39541586666666667,0.4948,0.8902158666666666,0.39222,0.4948,0.88702
5,1,2,315,511,152,511,336.19293000000005,599.04,935.23293,0.0009272137227630969,0.0008006405124099279,0,0,1420.1286509040333,728.1641313050441,-6.882887292529541e-12,58.99999999999656,0.9854597493073934,0.99627446835836,0.8773160533915664,0.39106066666666667,0.4992,0.8902606666666667,0.3879,0.4992,0.8871
6,1,2,315,511,152,511,340.87311,593.76,934.63311,0.0,0.0,0,0,1417.5,727.0,118.0,-6.882887292529541e-12,0.9879839062253437,0.9735017129808223,0.8805946662102112,0.39650466666666667,0.4948,0.8913046666666666,0.3933,0.4948,0.8881
7,1,2,315,511,152,511,343.525212,589.68,933.205212,0.0,0.0,0,0,1417.5,727.0,-6.882887292529541e-12,58.99999999999656,0.9894936587008245,0.9920486895259161,0.8816285591683842,0.3995896,0.4914,0.8909896,0.39636,0.4914,0.88776
8,1,2,315,511,152,511,338.221008,595.6800000000001,933.901008,0.0,0.0,0,0,1417.5,727.0,118.0,-6.882887292529541e-12,0.9867832183947259,0.9735794399651769,0.8780591802498035,0.39341973333333335,0.4964,0.8898197333333333,0.39024,0.4964,0.88664
9,1,2,315,511,152,511,341.96515200000005,590.88,932.8451520000001,0.00045599635202918376,0.0004060089321965083,0,0,1418.7927496580028,727.5903369874138,-6.882887292529541e-12,58.99999999999656,0.9888266898103806,0.9810538479107641,0.8802287326801762,0.39777493333333336,0.4924,0.8901749333333333,0.39456,0.4924,0.88696
10,1,2,315,511,152,511,332.760798,602.64,935.400798,0.0,0.0,0,0,1417.5,727.0,118.0,-6.882887292529541e-12,0.9835144251938283,0.997662881392397,0.8746082992690353,0.3870684,0.5022,0.8892684,0.38394,0.5022,0.88614
1,1,3,305,511,162,511,327.144582,618.24,945.384582,0.0,0.0,0,0,1372.5,772.0,118.0,-6.882887292529541e-12,0.9778976061423008,0.9373764334948597,0.8759376989764375,0.3805356,0.5152,0.8957356,0.37746,0.5152,0.89266
