seed,time,wifi_cw_min,wifi_cw_max,nru_cw_min,nru_cw_max,fairness,wifi_airtime,nru_airtime
4,23000000,511,511,7,28,0.5,804600,0
4,24000000,511,511,7,28,0.5,810000,0
4,25000000,511,511,7,28,0.5,799200,0
4,26000000,511,511,7,28,0.5,810000,0
4,27000000,511,511,7,28,0.5,810000,0
4,28000000,511,511,7,28,0.5,804600,0
4,29000000,511,511,7,28,0.5,810000,0
5,1000000,511,511,7,28,0.5,810000,0
5,2000000,511,511,7,28,0.5,793800,0
5,3000000,511,511,7,28,0.5,815400,0
5,4000000,511,511,7,28,0.5,815400,0
5,5000000,511,511,7,28,0.5,810000,0
5,6000000,511,511,7,28,0.5,820800,0
5,7000000,511,511,7,28,0.5,804600,0
5,8000000,511,511,7,28,0.5,804600,0
5,9000000,511,511,7,28,0.5,810000,0
5,10000000,511,511,7,28,0.5,804600,0
5,11000000,511,511,7,28,0.5,820800,0
5,12000000,511,511,7,28,0.5,804600,0
5,13000000,511,511,7,28,0.5,793800,0
5,14000000,511,511,7,28,0.5,815400,0
5,15000000,511,511,7,28,0.5,804600,0
5,16000000,511,511,7,28,0.5,810000,0
5,17000000,511,511,7,28,0.5,815400,0
5,18000000,511,511,7,28,0.5,804600,0
5,19000000,511,511,7,28,0.5,820800,0
5,20000000,511,511,7,28,0.5,815400,0
5,21000000,511,511,7,28,0.5,815400,0
5,22000000,511,511,7,28,0.5,815400,0
5,23000000,511,511,7,28,0.5,831600,0
5,24000000,511,511,7,28,0.5,815400,0
5,25000000,511,511,7,28,0.5,810000,0
5,26000000,511,511,7,28,0.5,810000,0
5,27000000,511,511,7,28,0.5,810000,0
5,28000000,511,511,7,28,0.5,831600,0
5,29000000,511,511,7,28,0.5,799200,0
1,1000000,511,511,7,28,0.5,858600,0
1,2000000,511,511,7,28,0.5,869400,0
1,3000000,511,511,7,28,0.5,858600,0
1,4000000,511,511,7,28,0.5,858600,0
1,5000000,511,511,7,28,0.5,864000,0
1,6000000,511,511,7,28,0.5,858600,0
1,7000000,511,511,7,28,0.5,858600,0
1,8000000,511,511,7,28,0.5,864000,0
1,9000000,511,511,7,28,0.5,864000,0
1,10000000,511,511,7,28,0.5,858600,0
1,11000000,511,511,7,28,0.5,869400,0
1,12000000,511,511,7,28,0.5,864000,0
1,13000000,511,511,7,28,0.5,847800,0
1,14000000,511,511,7,28,0.5,864000,0
1,15000000,511,511,7,28,0.5,864000,0
1,16000000,511,511,7,28,0.5,874800,0
1,17000000,511,511,7,28,0.5,853200,0
1,18000000,511,511,7,28,0.5,847800,0
1,19000000,511,511,7,28,0.5,858600,0
1,20000000,511,511,7,28,0.5,869400,0
1,21000000,511,511,7,28,0.5,858600,0
1,22000000,511,511,7,28,0.5,864000,0
1,23000000,511,511,7,28,0.5,858600,0
1,24000000,511,511,7,28,0.5,847800,0
1,25000000,511,511,7,28,0.5,864000,0
1,26000000,511,511,7,28,0.5,858600,0
1,27000000,511,511,7,28,0.5,847800,0
1,28000000,511,511,7,28,0.5,864000,0
1,29000000,511,511,7,28,0.5,864000,0
2,1000000,511,511,7,28,0.5,864000,0
2,2000000,511,511,7,28,0.5,858600,0
2,3000000,511,511,7,28,0.5,842400,0
2,4000000,511,511,7,28,0.5,864000,0
2,5000000,511,511,7,28,0.5,869400,0
2,6000000,511,511,7,28,0.5,842400,0
2,7000000,511,511,7,28,0.5,864000,0
2,8000000,511,511,7,28,0.5,869400,0
2,9000000,511,511,7,28,0.5,864000,0
2,10000000,511,511,7,28,0.5,853200,0
2,11000000,511,511,7,28,0.5,858600,0
2,12000000,511,511,7,28,0.5,869400,0
2,13000000,511,511,7,28,0.5,853200,0
2,14000000,511,511,7,28,0.5,858600,0
2,15000000,511,511,7,28,0.5,847800,0
2,16000000,511,511,7,28,0.5,853200,0
2,17000000,511,511,7,28,0.5,858600,0
2,18000000,511,511,7,28,0.5,864000,0
2,19000000,511,511,7,28,0.5,853200,0
2,20000000,511,511,7,28,0.5,858600,0
2,21000000,511,511,7,28,0.5,864000,0
2,22000000,511,511,7,28,0.5,847800,0
2,23000000,511,511,7,28,0.5,858600,0
2,24000000,511,511,7,28,0.5,869400,0
2,25000000,511,511,7,28,0.5,842400,0
2,26000000,511,511,7,28,0.5,864000,0
2,27000000,511,511,7,28,0.5,858600,0
2,28000000,511,511,7,28,0.5,853200,0
2,29000000,511,511,7,28,0.5,874800,0
3,1000000,511,511,7,28,0.5,858600,0
3,2000000,511,511,7,28,0.5,864000,0
3,3000000,511,511,7,28,0.5,858600,0
3,4000000,511,511,7,28,0.5,869400,0
3,5000000,511,511,7,28,0.5,858600,0
3,6000000,511,511,7,28,0.5,853200,0
3,7000000,511,511,7,28,0.5,853200,0
3,8000000,511,511,7,28,0.5,853200,0
3,9000000,511,511,7,28,0.5,858600,0
3,10000000,511,511,7,28,0.5,858600,0
3,11000000,511,511,7,28,0.5,858600,0
3,12000000,511,511,7,28,0.5,858600,0
3,13000000,511,511,7,28,0.5,864000,0
3,14000000,511,511,7,28,0.5,858600,0
3,15000000,511,511,7,28,0.5,858600,0
3,16000000,511,511,7,28,0.5,847800,0
3,17000000,511,511,7,28,0.5,858600,0
3,18000000,511,511,7,28,0.5,864000,0
3,19000000,511,511,7,28,0.5,858600,0
3,20000000,511,511,7,28,0.5,858600,0
3,21000000,511,511,7,28,0.5,869400,0
3,22000000,511,511,7,28,0.5,858600,0
3,23000000,511,511,7,28,0.5,847800,0
3,24000000,511,511,7,28,0.5,858600,0
3,25000000,511,511,7,28,0.5,864000,0
3,26000000,511,511,7,28,0.5,864000,0
3,27000000,511,511,7,28,0.5,847800,0
3,28000000,511,511,7,28,0.5,842400,0
3,29000000,511,511,7,28,0.5,858600,0
4,1000000,511,511,7,28,0.5,858600,0
4,2000000,511,511,7,28,0.5,858600,0
4,3000000,511,511,7,28,0.5,869400,0
4,4000000,511,511,7,28,0.5,869400,0
4,5000000,511,511,7,28,0.5,858600,0
4,6000000,511,511,7,28,0.5,864000,0
4,7000000,511,511,7,28,0.5,853200,0
4,8000000,511,511,7,28,0.5,858600,0
4,9000000,511,511,7,28,0.5,864000,0
4,10000000,511,511,7,28,0.5,864000,0
4,11000000,511,511,7,28,0.5,869400,0
4,12000000,511,511,7,28,0.5,864000,0
4,13000000,511,511,7,28,0.5,869400,0
4,14000000,511,511,7,28,0.5,858600,0
4,15000000,511,511,7,28,0.5,858600,0
4,16000000,511,511,7,28,0.5,864000,0
4,17000000,511,511,7,28,0.5,864000,0
4,18000000,511,511,7,28,0.5,869400,0
4,19000000,511,511,7,28,0.5,864000,0
4,20000000,511,511,7,28,0.5,864000,0
4,21000000,511,511,7,28,0.5,864000,0
4,22000000,511,511,7,28,0.5,858600,0
4,23000000,511,511,7,28,0.5,842400,0
4,24000000,511,511,7,28,0.5,858600,0
4,25000000,511,511,7,28,0.5,869400,0
4,26000000,511,511,7,28,0.5,864000,0
4,27000000,511,511,7,28,0.5,858600,0
4,28000000,511,511,7,28,0.5,864000,0
4,29000000,511,511,7,28,0.5,869400,0
5,1000000,511,511,7,28,0.5,858600,0
5,2000000,511,511,7,28,0.5,853200,0
5,3000000,511,511,7,28,0.5,864000,0
5,4000000,511,511,7,28,0.5,864000,0
5,5000000,511,511,7,28,0.5,864000,0
5,6000000,511,511,7,28,0.5,864000,0
5,7000000,511,511,7,28,0.5,864000,0
5,8000000,511,511,7,28,0.5,858600,0
5,9000000,511,511,7,28,0.5,864000,0
5,10000000,511,511,7,28,0.5,858600,0
5,11000000,511,511,7,28,0.5,853200,0
5,12000000,511,511,7,28,0.5,847800,0
5,13000000,511,511,7,28,0.5,864000,0
5,14000000,511,511,7,28,0.5,858600,0
5,15000000,511,511,7,28,0.5,847800,0
5,16000000,511,511,7,28,0.5,869400,0
5,17000000,511,511,7,28,0.5,842400,0
5,18000000,511,511,7,28,0.5,874800,0
5,19000000,511,511,7,28,0.5,869400,0
5,20000000,511,511,7,28,0.5,858600,0
5,21000000,511,511,7,28,0.5,869400,0
5,22000000,511,511,7,28,0.5,874800,0
5,23000000,511,511,7,28,0.5,858600,0
5,24000000,511,511,7,28,0.5,847800,0
5,25000000,511,511,7,28,0.5,864000,0
5,26000000,511,511,7,28,0.5,864000,0
5,27000000,511,511,7,28,0.5,864000,0
5,28000000,511,511,7,28,0.5,853200,0
5,29000000,511,511,7,28,0.5,858600,0
1,1000000,511,511,7,28,0.5,880200,0
1,2000000,511,511,7,28,0.5,891000,0
1,3000000,511,511,7,28,0.5,880200,0
1,4000000,511,511,7,28,0.5,891000,0
1,5000000,511,511,7,28,0.5,896400,0
1,6000000,511,511,7,28,0.5,874800,0
1,7000000,511,511,7,28,0.5,896400,0
1,8000000,511,511,7,28,0.5,885600,0
1,9000000,511,511,7,28,0.5,885600,0
1,10000000,511,511,7,28,0.5,880200,0
1,11000000,511,511,7,28,0.5,885600,0
1,12000000,511,511,7,28,0.5,874800,0
1,13000000,511,511,7,28,0.5,891000,0
1,14000000,511,511,7,28,0.5,885600,0
1,15000000,511,511,7,28,0.5,885600,0
1,16000000,511,511,7,28,0.5,885600,0
1,17000000,511,511,7,28,0.5,891000,0
1,18000000,511,511,7,28,0.5,880200,0
1,19000000,511,511,7,28,0.5,885600,0
1,20000000,511,511,7,28,0.5,891000,0
1,21000000,511,511,7,28,0.5,891000,0
1,22000000,511,511,7,28,0.5,891000,0
1,23000000,511,511,7,28,0.5,874800,0
1,24000000,511,511,7,28,0.5,885600,0
1,25000000,511,511,7,28,0.5,885600,0
1,26000000,511,511,7,28,0.5,858600,0
1,27000000,511,511,7,28,0.5,880200,0
1,28000000,511,511,7,28,0.5,885600,0
1,29000000,511,511,7,28,0.5,880200,0
2,1000000,511,511,7,28,0.5,885600,0
2,2000000,511,511,7,28,0.5,885600,0
2,3000000,511,511,7,28,0.5,885600,0
2,4000000,511,511,7,28,0.5,885600,0
2,5000000,511,511,7,28,0.5,891000,0
2,6000000,511,511,7,28,0.5,874800,0
2,7000000,511,511,7,28,0.5,885600,0
2,8000000,511,511,7,28,0.5,891000,0
2,9000000,511,511,7,28,0.5,896400,0
2,10000000,511,511,7,28,0.5,885600,0
2,11000000,511,511,7,28,0.5,880200,0
2,12000000,511,511,7,28,0.5,885600,0
2,13000000,511,511,7,28,0.5,885600,0
2,14000000,511,511,7,28,0.5,891000,0
2,15000000,511,511,7,28,0.5,880200,0
2,16000000,511,511,7,28,0.5,885600,0
2,17000000,511,511,7,28,0.5,880200,0
2,18000000,511,511,7,28,0.5,880200,0
2,19000000,511,511,7,28,0.5,885600,0
2,20000000,511,511,7,28,0.5,891000,0
2,21000000,511,511,7,28,0.5,880200,0
2,22000000,511,511,7,28,0.5,885600,0
2,23000000,511,511,7,28,0.5,891000,0
2,24000000,511,511,7,28,0.5,885600,0
2,25000000,511,511,7,28,0.5,885600,0
2,26000000,511,511,7,28,0.5,891000,0
2,27000000,511,511,7,28,0.5,891000,0
2,28000000,511,511,7,28,0.5,901800,0
2,29000000,511,511,7,28,0.5,880200,0
3,1000000,511,511,7,28,0.5,880200,0
3,2000000,511,511,7,28,0.5,891000,0
3,3000000,511,511,7,28,0.5,885600,0
3,4000000,511,511,7,28,0.5,880200,0
3,5000000,511,511,7,28,0.5,880200,0
3,6000000,511,511,7,28,0.5,891000,0
3,7000000,511,511,7,28,0.5,880200,0
3,8000000,511,511,7,28,0.5,880200,0
3,9000000,511,511,7,28,0.5,885600,0
3,10000000,511,511,7,28,0.5,880200,0
3,11000000,511,511,7,28,0.5,885600,0
3,12000000,511,511,7,28,0.5,891000,0
3,13000000,511,511,7,28,0.5,874800,0
3,14000000,511,511,7,28,0.5,874800,0
3,15000000,511,511,7,28,0.5,885600,0
3,16000000,511,511,7,28,0.5,891000,0
3,17000000,511,511,7,28,0.5,880200,0
3,18000000,511,511,7,28,0.5,891000,0
3,19000000,511,511,7,28,0.5,880200,0
3,20000000,511,511,7,28,0.5,891000,0
3,21000000,511,511,7,28,0.5,891000,0
3,22000000,511,511,7,28,0.5,891000,0
3,23000000,511,511,7,28,0.5,874800,0
3,24000000,511,511,7,28,0.5,885600,0
3,25000000,511,511,7,28,0.5,885600,0
3,26000000,511,511,7,28,0.5,891000,0
3,27000000,511,511,7,28,0.5,885600,0
3,28000000,511,511,7,28,0.5,874800,0
3,29000000,511,511,7,28,0.5,880200,0
4,1000000,511,511,7,28,0.5,885600,0
4,2000000,511,511,7,28,0.5,891000,0
4,3000000,511,511,7,28,0.5,891000,0
4,4000000,511,511,7,28,0.5,885600,0
4,5000000,511,511,7,28,0.5,880200,0
4,6000000,511,511,7,28,0.5,880200,0
4,7000000,511,511,7,28,0.5,880200,0
4,8000000,511,511,7,28,0.5,869400,0
4,9000000,511,511,7,28,0.5,869400,0
4,10000000,511,511,7,28,0.5,880200,0
4,11000000,511,511,7,28,0.5,874800,0
4,12000000,511,511,7,28,0.5,901800,0
4,13000000,511,511,7,28,0.5,880200,0
4,14000000,511,511,7,28,0.5,869400,0
4,15000000,511,511,7,28,0.5,880200,0
4,16000000,511,511,7,28,0.5,885600,0
4,17000000,511,511,7,28,0.5,891000,0
4,18000000,511,511,7,28,0.5,891000,0
4,19000000,511,511,7,28,0.5,885600,0
4,20000000,511,511,7,28,0.5,880200,0
4,21000000,511,511,7,28,0.5,874800,0
4,22000000,511,511,7,28,0.5,869400,0
4,23000000,511,511,7,28,0.5,880200,0
4,24000000,511,511,7,28,0.5,885600,0
4,25000000,511,511,7,28,0.5,885600,0
4,26000000,511,511,7,28,0.5,891000,0
4,27000000,511,511,7,28,0.5,891000,0
4,28000000,511,511,7,28,0.5,891000,0
4,29000000,511,511,7,28,0.5,869400,0
5,1000000,511,511,7,28,0.5,880200,0
5,2000000,511,511,7,28,0.5,874800,0
5,3000000,511,511,7,28,0.5,891000,0
5,4000000,511,511,7,28,0.5,885600,0
5,5000000,511,511,7,28,0.5,885600,0
5,6000000,511,511,7,28,0.5,891000,0
5,7000000,511,511,7,28,0.5,891000,0
5,8000000,511,511,7,28,0.5,885600,0
5,9000000,511,511,7,28,0.5,874800,0
5,10000000,511,511,7,28,0.5,891000,0
5,11000000,511,511,7,28,0.5,880200,0
5,12000000,511,511,7,28,0.5,869400,0
5,13000000,511,511,7,28,0.5,891000,0
5,14000000,511,511,7,28,0.5,880200,0
5,15000000,511,511,7,28,0.5,880200,0
5,16000000,511,511,7,28,0.5,885600,0
5,17000000,511,511,7,28,0.5,891000,0
5,18000000,511,511,7,28,0.5,891000,0
5,19000000,511,511,7,28,0.5,880200,0
5,20000000,511,511,7,28,0.5,885600,0
5,21000000,511,511,7,28,0.5,896400,0
5,22000000,511,511,7,28,0.5,891000,0
5,23000000,511,511,7,28,0.5,869400,0
5,24000000,511,511,7,28,0.5,880200,0
5,25000000,511,511,7,28,0.5,891000,0
5,26000000,511,511,7,28,0.5,880200,0
5,27000000,511,511,7,28,0.5,874800,0
5,28000000,511,511,7,28,0.5,880200,0
5,29000000,511,511,7,28,0.5,874800,0
1,1000000,511,511,7,28,0.5,896400,0
1,2000000,511,511,7,28,0.5,912600,0
1,3000000,511,511,7,28,0.5,901800,0
1,4000000,511,511,7,28,0.5,896400,0
1,5000000,511,511,7,28,0.5,896400,0
1,6000000,511,511,7,28,0.5,907200,0
1,7000000,511,511,7,28,0.5,896400,0
1,8000000,511,511,7,28,0.5,907200,0
1,9000000,511,511,7,28,0.5,907200,0
1,10000000,511,511,7,28,0.5,907200,0
1,11000000,511,511,7,28,0.5,891000,0
1,12000000,511,511,7,28,0.5,891000,0
1,13000000,511,511,7,28,0.5,901800,0
1,14000000,511,511,7,28,0.5,896400,0
1,15000000,511,511,7,28,0.5,901800,0
1,16000000,511,511,7,28,0.5,907200,0
1,17000000,511,511,7,28,0.5,907200,0
1,18000000,511,511,7,28,0.5,901800,0
1,19000000,511,511,7,28,0.5,912600,0
1,20000000,511,511,7,28,0.5,896400,0
1,21000000,511,511,7,28,0.5,896400,0
1,22000000,511,511,7,28,0.5,896400,0
1,23000000,511,511,7,28,0.5,907200,0
1,24000000,511,511,7,28,0.5,901800,0
1,25000000,511,511,7,28,0.5,901800,0
1,26000000,511,511,7,28,0.5,896400,0
1,27000000,511,511,7,28,0.5,901800,0
1,28000000,511,511,7,28,0.5,896400,0
1,29000000,511,511,7,28,0.5,896400,0
2,1000000,511,511,7,28,0.5,891000,0
2,2000000,511,511,7,28,0.5,896400,0
2,3000000,511,511,7,28,0.5,901800,0
2,4000000,511,511,7,28,0.5,880200,0
2,5000000,511,511,7,28,0.5,901800,0
2,6000000,511,511,7,28,0.5,907200,0
2,7000000,511,511,7,28,0.5,891000,0
2,8000000,511,511,7,28,0.5,901800,0
2,9000000,511,511,7,28,0.5,885600,0
2,10000000,511,511,7,28,0.5,901800,0
2,11000000,511,511,7,28,0.5,896400,0
2,12000000,511,511,7,28,0.5,896400,0
2,13000000,511,511,7,28,0.5,885600,0
2,14000000,511,511,7,28,0.5,896400,0
2,15000000,511,511,7,28,0.5,880200,0
2,16000000,511,511,7,28,0.5,907200,0
2,17000000,511,511,7,28,0.5,896400,0
2,18000000,511,511,7,28,0.5,907200,0
2,19000000,511,511,7,28,0.5,901800,0
2,20000000,511,511,7,28,0.5,891000,0
2,21000000,511,511,7,28,0.5,907200,0
